Month,christmas present: (United States)
2004-01,1
2004-02,1
2004-03,3
2004-04,1
2004-05,2
2004-06,1
2004-07,2
2004-08,1
2004-09,3
2004-10,5
2004-11,33
2004-12,65
2005-01,2
2005-02,1
2005-03,<1
2005-04,1
2005-05,1
2005-06,2
2005-07,1
2005-08,1
2005-09,2
2005-10,7
2005-11,30
2005-12,63
2006-01,3
2006-02,1
2006-03,1
2006-04,1
2006-05,2
2006-06,1
2006-07,1
2006-08,1
2006-09,3
2006-10,6
2006-11,31
2006-12,67
2007-01,3
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,4
2007-10,8
2007-11,32
2007-12,73
2008-01,3
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,2
2008-09,3
2008-10,8
2008-11,28
2008-12,71
2009-01,2
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,2
2009-09,3
2009-10,10
2009-11,32
2009-12,76
2010-01,3
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,2
2010-09,3
2010-10,6
2010-11,30
2010-12,73
2011-01,4
2011-02,2
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,2
2011-09,3
2011-10,8
2011-11,38
2011-12,94
2012-01,5
2012-02,2
2012-03,2
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,2
2012-09,4
2012-10,8
2012-11,34
2012-12,83
2013-01,4
2013-02,2
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,2
2013-08,2
2013-09,3
2013-10,9
2013-11,37
2013-12,100
2014-01,5
2014-02,2
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,2
2014-08,2
2014-09,3
2014-10,8
2014-11,34
2014-12,89
2015-01,5
2015-02,2
2015-03,2
2015-04,1
2015-05,1
2015-06,2
2015-07,1
2015-08,2
2015-09,4
2015-10,8
2015-11,32
2015-12,90
2016-01,5
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,2
2016-08,2
2016-09,4
2016-10,8
2016-11,32
2016-12,86
2017-01,5
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,4
2017-10,9
2017-11,38
2017-12,85
2018-01,5
2018-02,2
2018-03,1
2018-04,1
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,4
2018-10,8
2018-11,36
2018-12,79
2019-01,4
2019-02,2
2019-03,1
2019-04,2
2019-05,2