Month,engagement ring: (United States)
2004-01,34
2004-02,38
2004-03,33
2004-04,31
2004-05,36
2004-06,38
2004-07,42
2004-08,38
2004-09,37
2004-10,34
2004-11,41
2004-12,40
2005-01,39
2005-02,42
2005-03,33
2005-04,31
2005-05,30
2005-06,50
2005-07,41
2005-08,39
2005-09,36
2005-10,37
2005-11,44
2005-12,41
2006-01,35
2006-02,34
2006-03,27
2006-04,30
2006-05,29
2006-06,32
2006-07,32
2006-08,33
2006-09,31
2006-10,32
2006-11,35
2006-12,35
2007-01,33
2007-02,36
2007-03,29
2007-04,29
2007-05,30
2007-06,33
2007-07,35
2007-08,36
2007-09,32
2007-10,32
2007-11,36
2007-12,36
2008-01,33
2008-02,33
2008-03,31
2008-04,34
2008-05,33
2008-06,33
2008-07,33
2008-08,29
2008-09,30
2008-10,29
2008-11,33
2008-12,35
2009-01,32
2009-02,32
2009-03,29
2009-04,30
2009-05,30
2009-06,37
2009-07,36
2009-08,32
2009-09,34
2009-10,34
2009-11,35
2009-12,42
2010-01,40
2010-02,42
2010-03,34
2010-04,36
2010-05,36
2010-06,36
2010-07,36
2010-08,33
2010-09,29
2010-10,30
2010-11,64
2010-12,44
2011-01,46
2011-02,41
2011-03,37
2011-04,45
2011-05,100
2011-06,56
2011-07,44
2011-08,49
2011-09,45
2011-10,40
2011-11,46
2011-12,51
2012-01,47
2012-02,43
2012-03,44
2012-04,57
2012-05,44
2012-06,57
2012-07,47
2012-08,51
2012-09,45
2012-10,46
2012-11,45
2012-12,55
2013-01,50
2013-02,48
2013-03,46
2013-04,42
2013-05,44
2013-06,42
2013-07,47
2013-08,45
2013-09,46
2013-10,64
2013-11,52
2013-12,57
2014-01,52
2014-02,52
2014-03,46
2014-04,44
2014-05,42
2014-06,42
2014-07,46
2014-08,42
2014-09,43
2014-10,42
2014-11,46
2014-12,51
2015-01,44
2015-02,49
2015-03,38
2015-04,40
2015-05,38
2015-06,41
2015-07,44
2015-08,44
2015-09,41
2015-10,39
2015-11,47
2015-12,52
2016-01,58
2016-02,51
2016-03,47
2016-04,45
2016-05,45
2016-06,42
2016-07,50
2016-08,49
2016-09,46
2016-10,46
2016-11,49
2016-12,57
2017-01,50
2017-02,44
2017-03,40
2017-04,41
2017-05,41
2017-06,41
2017-07,46
2017-08,44
2017-09,41
2017-10,42
2017-11,65
2017-12,59
2018-01,61
2018-02,45
2018-03,43
2018-04,39
2018-05,47
2018-06,47
2018-07,54
2018-08,48
2018-09,41
2018-10,43
2018-11,48
2018-12,53
2019-01,44
2019-02,48
2019-03,57
2019-04,39
2019-05,37